"EIN","SEC_NAME","FRCD","SUBSECCD","TAXPER","ASSETS","INCOME","NAME","ADDRESS","CITY","STATE","NTEEFINAL","NAICS","ZIP5","RULEDATE","FIPS","FNDNCD","PMSA","MSA_NECH","CASSETS","CFINSRC","CTAXPER","CTOTREV","ACCPER","RANDNUM","NTEECC","NTEE1","LEVEL4","LEVEL1","NTMAJ10","MAJGRPB","LEVEL3","LEVEL2","NTMAJ12","NTMAJ5","FILER","ZFILER","OUTREAS","OUTNCCS"
562479541,"",60,3,202112,156568,99066,"ZOMI COMMUNITY CHURCH INC","191 SW 6TH ST","POMPANO BEACH","FL","X21",813110,33060,201008,12099,10,NA,NA,NA,"",NA,NA,12,0.8661384652,"X21","X","X","PC","RE","X","RE","O","RE","OT","Y","N","","IN"
810889572,"",1,3,202012,1581445,86849,"BRUCHA VYEHOSHUA FOUNDATION TRUST","1542 53RD ST","BROOKLYN","NY","T20",NA,11219,201807,NA,NA,NA,NA,NA,"",NA,NA,12,0.1577478227,"T20","T","T","PC","PU","T","ZC","S","PU","OT","Y","N","","IN"
851190699,"",1,3,NA,NA,NA,"CIRCUIT SAVERS","3222 BLACK OAK DR","EAGAN","MN","P02",NA,55121,202008,NA,NA,NA,NA,NA,"",NA,NA,NA,0.558337289,"P02","P","P","PC","HU","P","HS","O","HU","HU","N","N","","IN"
721219312,"LRHA",10,6,202012,209200,320887,"LOUISIANA RURAL HEALTH ASSOCIATION","133 HIGHWAY 402","NAPOLEONVILLE","LA","S21",813410,70390,199405,22007,0,NA,NA,217879,"19eoextract990.xlsx",201812,267826,12,0.584478572,"S21","S","S","O","PU","S","PB","O","PU","OT","Y","N","","IN"
742952380,"",1,3,202012,4604646,936623,"NORBERT H HARDNER FOUNDATION","2901 VIA FORTUNA - BLDG 6 ROOM 475","AUSTIN","TX","T22",813211,78746,200006,48453,4,NA,NA,NA,"",NA,NA,12,0.463283962,"T22","T","T","PF","PU","T","ZC","S","PU","OT","Y","N","","IN"
363947722,"",10,3,202004,0,0,"CANCER PREVENTION COALITION","161 E CHICAGO AVE UNIT 28A","CHICAGO","IL","W19",813219,60611,199506,17031,15,NA,NA,197100,"core2017pc",201804,13170,4,0.0323950045,"W19","W","W","PC","PU","W","PB","O","PU","OT","N","N","","IN"
200261935,"",20,3,202112,0,0,"NATIONAL VETERANS FREEDOM PARK FOUNDATION INC","PO BOX 4842","CARY","NC","W30",813410,27519,200310,37183,15,NA,NA,37398,"19eoextractez.xlsx",201812,186,12,0.9992869543,"W30","W","W","PC","PU","W","PB","O","PU","OT","Y","Y","","IN"
461366535,"",20,3,202112,0,0,"TESTIFY","PO BOX 1374","HELOTES","TX","P20",624000,78023,201401,48029,15,NA,NA,NA,"",NA,NA,12,0.9686306732,"P20","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
832842602,"301 PANTHERS ATHLETIC ASSOCIATION",20,3,NA,NA,NA,"301 PANTHERS","8200 TIMBER CROSS CT","CLINTON","MD","N99",NA,20735,202202,NA,NA,NA,NA,NA,"",NA,NA,NA,0.2616336771,"N99","N","N","PC","HU","N","HS","O","HU","HU","N","N","","IN"
510648282,"ANDERSON VALLEY GARDEN CLUB",20,3,202106,0,0,"CALIFORNIA GARDEN CLUBS INC","PO BOX 974","ANDERSON","CA","C42",813410,96007,196910,6089,16,NA,NA,NA,"",NA,NA,6,0.3716414755,"C42","C","C","PC","EN","C","EN","O","EN","OT","Y","Y","","IN"
431685281,"",10,3,202112,181822,90406,"SANTAS HELPERS INC","326 JAMBOREE DR","MANCHESTER","MO","P60",624230,63021,199412,29189,15,NA,NA,117566,"19eoextractez.xlsx",201812,54708,12,0.7470912614,"P60","P","P","PC","HU","P","HS","O","HU","HU","Y","N","","IN"
391184320,"635 BAY-LAKES COUNCIL",10,3,202012,33531399,14212471,"BOY SCOUTS OF AMERICA","PO BOX 267","APPLETON","WI","O41",813410,54912,196511,55087,15,NA,NA,27057489,"19eoextract990.xlsx",201812,5072821,12,0.6092584991,"O41","O","O","PC","HU","O","HS","O","HU","HU","Y","N","","IN"
251672589,"",10,3,202009,101306,93101,"KAPPA SCHOLARSHIP ENDOWMENT FUND OF WESTERN PENNSYLVANIA","4265 SALINE ST","PITTSBURGH","PA","B82",813410,15217,199205,42003,15,NA,NA,128926,"19eoextractez.xlsx",201809,38864,9,0.6793349575,"B82","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
460672443,"",60,3,NA,NA,NA,"UNITY OF ROSEVILLE","910 PLEASANT GROVE BLVD STE 342","ROSEVILLE","CA","X20",813110,95678,197002,6061,10,NA,NA,NA,"",NA,NA,NA,0.0998644122,"X20","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
843356922,"",20,3,202112,0,0,"WAYNE COUNTY HORSEMANS ASSOCIATION INC","PO BOX 296","MONTICELLO","KY","W99",NA,42633,201910,NA,NA,NA,NA,NA,"",NA,NA,12,0.8628038019,"W99","W","W","PC","PU","W","PB","O","PU","OT","Y","Y","","IN"
426037351,"",1,3,202112,6788630,1066850,"KINNEY-LINDSTROM FOUNDATION INC","PO BOX 520","MASON CITY","IA","T20",813211,50402,195808,19033,4,NA,NA,NA,"",NA,NA,12,0.8102900628,"T20","T","T","PF","PU","T","ZC","S","PU","OT","Y","N","","IN"
941016895,"653",10,5,202112,53537,158705,"INTERNATIONAL ASSOCIATION OF MACHINISTS & AEROSPACE WORKERS","5726 E SHIELDS AVE","FRESNO","CA","J40",813930,93727,194012,6019,0,NA,NA,53750,"19eoextractez.xlsx",201812,151224,12,0.7194256337,"J40","J","J","O","HU","J","HS","O","HU","HU","Y","N","","IN"
752119615,"",10,3,202109,749603,533127,"WEST HARRISON VOLUNTEER FIRE DEPARTMENT","PO BOX 12188","LONGVIEW","TX","M24",624230,75607,201611,48183,0,NA,NA,575846,"19eoextract990.xlsx",201809,476208,9,0.7308494125,"M24","M","M","PC","HU","M","HS","O","HU","HU","Y","N","","IN"
586075223,"",10,5,201912,60317,68875,"AMERICAN FEDERATION OF GOVERNMENT EMPLOYEES LOCAL 2883","PO BOX 15514","ATLANTA","GA","J40",813930,30333,202002,13089,0,NA,NA,NA,"",NA,NA,12,0.2852325398,"J40","J","J","O","HU","J","HS","O","HU","HU","N","N","","IN"
352393827,"67 LOCAL",20,5,202112,0,0,"WORKERS UNITED","333 S ASHLAND AVE","CHICAGO","IL","J40",813930,60607,201003,17031,0,NA,NA,NA,"",NA,NA,12,0.1655868303,"J40","J","J","O","HU","J","HS","O","HU","HU","Y","Y","","IN"
930880111,"",20,3,202107,107326,24191,"HEART OF THE VALLEY CHILDRENS CHOIR","PO BOX 2730","CORVALLIS","OR","A6B",711130,97339,198604,41003,16,NA,NA,27795,"19eoextractez.xlsx",201807,128563,7,0.9236688428,"A6B","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
383266575,"",20,4,202112,0,0,"THUMB TWO CYLINDER CLUB","3876 JURGESS RD","UBLY","MI","N50",713990,48475,201305,26063,0,NA,NA,NA,"",NA,NA,12,0.5776040816,"N50","N","N","O","HU","N","HS","O","HU","HU","Y","Y","","IN"
42464259,"",10,3,202106,8306846,4614978,"BOYS & GIRLS CLUB OF GREATER WESTFIELD","PO BOX 128","WESTFIELD","MA","O23",624110,1086,197006,25013,15,NA,NA,4588046,"19eoextract990.xlsx",201906,2498713,6,0.2754878344,"O23","O","O","PC","HU","O","HS","O","HU","HU","Y","N","","IN"
930577934,"",10,3,202108,403166,410420,"CULTUREBOUND","1507 SE 122ND AVE","PORTLAND","OR","X21",813110,97233,196907,41051,15,NA,NA,770772,"19eoextract990.xlsx",201808,112535,8,0.7458133717,"X21","X","X","PC","RE","X","RE","O","RE","OT","Y","N","","IN"
364244709,"",60,3,NA,NA,NA,"WHOLE WORD OF GOD CHRISTIAN OUTREACH","10045 S CAPENTER","CHICAGO","IL","X20",813110,60643,201208,17031,10,NA,NA,NA,"",NA,NA,NA,0.1400603515,"X20","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
331051196,"",20,3,202112,0,0,"GEIGERTOWN CENTRAL RAILROAD MUSEUM INC","PO BOX 201","GEIGERTOWN","PA","A50",712110,19523,200408,42011,15,NA,NA,5606,"core2017pc",201612,530,12,0.3605651475,"A50","A","A","PC","AR","A","AR","O","AR","AR","Y","Y","","IN"
842979836,"",20,3,201912,1500,4500,"MUJERES UNIDAS SIRVIENDO ACTIVAMENTE","14711 EL CAMINO AVE","PARAMOUNT","CA","S81",NA,90723,201909,NA,NA,NA,NA,NA,"",NA,NA,12,0.3871625884,"S81","S","S","PC","PU","S","PB","O","PU","OT","N","N","","IN"
814111238,"",20,3,202012,0,0,"BMORE LATINA","PO BOX 6188","BALTIMORE","MD","P84",NA,21231,201612,NA,NA,NA,NA,NA,"",NA,NA,12,0.1771418974,"P84","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
562493506,"BAREBONES PRODUCTIONS",10,3,202012,215674,156878,"BAREBONES PRODUCTIONS INC","7056 MEADE PL","PITTSBURGH","PA","A65",NA,15208,201612,NA,NA,NA,NA,238086,"19eoextract990.xlsx",201812,228106,12,0.0265940518,"A65","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
382928361,"",20,3,202112,0,0,"RHS ALUMNI FOOTBALL CLUB","PO BOX 321","WYANDOTTE","MI","B84",813410,48192,199110,26163,16,NA,NA,57722,"19eoextractez.xlsx",201812,15984,12,0.1035956831,"B84","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
831053629,"",20,3,202012,0,0,"CHRISTI S ADVANCED DANCE INC","1670 ROADRUNNER CT UNIT 258","CHULA VISTA","CA","A62",NA,91915,201907,NA,NA,NA,NA,NA,"",NA,NA,12,0.0545158256,"A62","A","A","PC","AR","A","AR","O","AR","AR","Y","Y","","IN"
833593334,"",20,3,202012,0,0,"HANDS OF JUDAH","11883 129TH TER","LARGO","FL","P50",NA,33778,201906,NA,NA,NA,NA,NA,"",NA,NA,12,0.6257319201,"P50","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
237061809,"",10,3,202012,3837101,1212456,"HARRISONBURG RESCUE SQUAD INCORPORATED","SQUAD INC 1700 RESERVOIR","HARRISONBURG","VA","E62",621910,22801,197003,51660,15,NA,NA,3792897,"19eoextract990.xlsx",201812,1237861,12,0.0973006554,"E62","E","E","PC","HE","E","HE","O","HE","HE","Y","N","","IN"
262700336,"64473 AMES BREAKFAST",20,4,202006,0,0,"INTERNATIONAL ASSOCIATION OF LIONS CLUBS","4001 FLETCHER BLVD","AMES","IA","S80",813410,50010,194012,19169,0,NA,NA,NA,"",NA,NA,6,0.6256416654,"S80","S","S","O","PU","S","PB","O","PU","OT","N","N","","IN"
112928703,"",10,3,202012,5222980,813098,"PRACTICAL LEARNING CENTER","22 E 16TH ST","BROOKLYN","NY","B20",611110,11226,198904,36047,11,NA,NA,5322699,"19eoextract990.xlsx",201812,1232888,12,0.4479364263,"B20","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
112408633,"2323506 ISLIP AMERICAN LL",20,3,202109,56359,45463,"LITTLE LEAGUE BASEBALL INC","PO BOX 592","EAST ISLIP","NY","N63",713990,11730,196701,36103,15,NA,NA,42022,"19eoextractez.xlsx",201809,69651,9,0.9743612507,"N63","N","N","PC","HU","N","HS","O","HU","HU","Y","N","","IN"
814214100,"DSOA PTSA",20,3,202106,50568,32915,"DREYFOOS PARENT TEACHER STUDENT ORGANIZATION INC","501 S SAPODILLA AVE","WEST PALM BCH","FL","B94",NA,33401,201701,NA,NA,NA,NA,85087,"19eoextractez.xlsx",201906,149935,6,0.3043578748,"B94","B","B","PC","ED","B","ED","O","ED","ED","Y","N","","IN"
237614888,"104 AMY F SCHMIDT MEMORIAL COURT",20,8,202206,0,0,"ORDER OF THE AMARANTH INC","219-221 CEDAR ST","BRISTOL","PA","I03",813920,19007,197211,42017,0,NA,NA,NA,"",NA,NA,6,0.562564212,"I03","I","I","O","HU","I","HS","O","HU","HU","Y","Y","","IN"
205436444,"",20,3,202012,NA,NA,"FREEDOM NEIGHBORHOOD ONE","1248 MARIE LOWE DR","BRISTOL","PA","S20",813410,19007,201803,42017,15,NA,NA,NA,"",NA,NA,12,0.8859004999,"S20","S","S","PC","PU","S","PB","O","PU","OT","Y","N","","IN"
263668924,"",1,3,202012,44700,213035,"CALVIN H REED FAMILY FOUNDATION INC","3301 BAYSHORE BLVD UNIT 1706","TAMPA","FL","T20",813211,33629,200902,12057,4,NA,NA,NA,"",NA,NA,12,0.9344115189,"T20","T","T","PF","PU","T","ZC","S","PU","OT","Y","N","","IN"
832877900,"",20,3,202012,0,0,"DREAMS INSTITUTE","1103 PALMERTON DR","NEWPORT NEWS","VA","B90",NA,23602,201902,NA,NA,NA,NA,NA,"",NA,NA,12,0.9016566377,"B90","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
464525015,"",20,3,202112,0,0,"A NEW LEASE ON LIFE","7920 ACC BLVD STE 220","RALEIGH","NC","L40",721199,27617,201411,37183,15,NA,NA,NA,"",NA,NA,12,0.2482845189,"L40","L","L","PC","HU","L","HS","O","HU","HU","Y","Y","","IN"
751308870,"",60,3,NA,NA,NA,"FAITH LUTHERAN CHURCH","PO BOX 818","OZONA","TX","X21",813110,76943,194107,48105,10,NA,NA,NA,"",NA,NA,NA,0.2026139791,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
311652051,"",10,6,202106,406326,271434,"WILMINGTON REGIONAL FILM COMMISSION INC","1223 N 23RD ST","WILMINGTON","NC","A31",512110,28405,199906,37129,0,NA,NA,380364,"19eoextract990.xlsx",201906,270253,6,0.1444618727,"A31","A","A","O","AR","A","AR","O","AR","AR","Y","N","","IN"
870877970,"",20,3,202112,747,9425,"MATT 25 40 GROUP INC","908 E ROCHESTER ST","BROKEN ARROW","OK","",NA,74011,202109,NA,NA,NA,NA,NA,"",NA,NA,12,0.487984081,"","","","PC","UN","","-","O","UN","OT","Y","N","","IN"
851918738,"",20,3,NA,NA,NA,"WILLIAMS FRANCISCO INITIATIVE","52 YOUNGLOVE AVE","COHOES","NY","S20",NA,12047,202009,NA,NA,NA,NA,NA,"",NA,NA,NA,0.4143973791,"S20","S","S","PC","PU","S","PB","O","PU","OT","N","N","","IN"
832342137,"",10,3,202012,352232,309963,"ROBBIES HOPE FOUNDATION","3440 YOUNGFIELD STREET SUITE 267","WHEAT RIDGE","CO","F40",NA,80033,201905,NA,NA,NA,NA,108673,"19eoextractez.xlsx",201812,117797,12,0.6599208897,"F40","F","F","PC","HE","F","HE","O","HE","HE","Y","N","","IN"
237335897,"",60,3,NA,NA,NA,"UPPER VALLEY CHURCH OF CHRIST","PO BOX 262","QUECHEE","VT","X21",813110,5059,197401,50027,10,NA,NA,NA,"",NA,NA,NA,0.0925107547,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
541278560,"",10,3,202112,228007,117810,"NEW LIFE MINISTRIES","PO BOX 400","CHURCHVILLE","VA","X20",813110,24421,198504,51015,15,NA,NA,274169,"19eoextract990.xlsx",201812,105512,12,0.7398205462,"X20","X","X","PC","RE","X","RE","O","RE","OT","Y","N","","IN"
454285044,"BERLIN BOOTS & SADDLES 4-H CLUB OF",20,3,202112,0,0,"THE OHIO STATE UNIVERSITY","490 S BROAD ST","CANFIELD","OH","O52",813410,44406,201305,39029,15,NA,NA,NA,"",NA,NA,12,0.5551984138,"O52","O","O","PC","HU","O","HS","O","HU","HU","Y","Y","","IN"
341860527,"",20,3,202112,31514,3352,"MIDDLEBURG HEIGHTS HISTORICAL SOCIETY","15798 ROXBORO DR","CLEVELAND","OH","A82",712120,44130,200205,39035,16,NA,NA,33212,"19eoextractez.xlsx",201812,5964,12,0.8647394801,"A82","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
436046864,"DELTA PHI UNIV OF MO AT KC",20,7,NA,NA,NA,"ALPHA DELTA PI SORORITY","1386 PONCE DE LEON AVE NE","ATLANTA","GA","B8340",813410,30306,196602,13121,0,NA,NA,NA,"",NA,NA,NA,0.8506520507,"B834","B","B","O","ED","B","ED","O","ED","ED","N","N","","IN"
371493603,"",20,3,202112,0,0,"TIVERTON EDUCATION FOUNDATION","PO BOX 303","TIVERTON","RI","B11",813219,2878,200501,44005,15,NA,NA,NA,"",NA,NA,12,0.3417336887,"B11","B","B","PC","ED","B","ZA","S","ED","ED","Y","Y","","IN"
830584583,"",10,3,202112,24415,62865,"KYLE J TAYLOR FOUNDATION","5205 RUCKER DR","SAN JOSE","CA","E01",NA,95124,201806,NA,NA,NA,NA,NA,"",NA,NA,12,0.3520458823,"E01","E","E","PC","HE","E","HE","O","HE","HE","Y","N","","IN"
721248120,"",20,3,201906,0,0,"D E L F INC","PO BOX 770260","NEW ORLEANS","LA","B28",611699,70177,200102,22071,11,NA,NA,NA,"",NA,NA,6,0.0568864156,"B28","B","B","PC","ED","B","ED","O","ED","ED","N","N","","IN"
20519618,"",10,3,202112,1512851,247151,"NEW HAMPSHIRE VETERANS CEMETERY ASSOCIATION INC","PO BOX 626","CONCORD","NH","A99",710000,3302,200102,33013,15,NA,NA,592443,"19eoextract990.xlsx",201812,362015,12,0.9967193153,"A99","A","A","PC","AR","A","AR","O","AR","AR","Y","N","","IN"
861854432,"",20,3,202201,0,0,"NEVADA LATINO ARTS AND CULTURE ASSOCIATION","5841 E CHARLESTON BLVD 230-172","LAS VEGAS","NV","A23",NA,89142,202105,NA,NA,NA,NA,NA,"",NA,NA,1,0.6720424876,"A23","A","A","PC","AR","A","AR","O","AR","AR","Y","Y","","IN"
850695970,"",20,3,NA,NA,NA,"LITTLE BLACK CART INC","1818 CARLETON ST","BERKELEY","CA","B99",NA,94703,202004,NA,NA,NA,NA,NA,"",NA,NA,NA,0.6911836656,"B99","B","B","PC","ED","B","ED","O","ED","ED","N","N","","IN"
460610941,"",20,3,202112,0,0,"SAMARITAN MAIDS","3234 BECKERDITE RD","SOPHIA","NC","P80",624120,27350,201301,37151,15,NA,NA,NA,"",NA,NA,12,0.9033233213,"P80","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
237388108,"",60,3,NA,NA,NA,"EVERY HOME CRUSADES","10551 BURBANK BLVD","N HOLLYWOOD","CA","L99",624220,91601,197408,6037,10,NA,NA,NA,"",NA,NA,NA,0.9375818941,"L99","L","L","PC","HU","L","HS","O","HU","HU","N","N","","IN"
942856091,"",60,3,NA,NA,NA,"SINAI TEMPLE","PO BOX 576","CARUTHERS","CA","X99",813110,93609,196408,6019,10,NA,NA,NA,"",NA,NA,NA,0.4041936285,"X99","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
731599074,"",20,3,202206,0,0,"INDIAN CAPITAL TECHNOLOGY CENTER FOUNDATION INC","2403 N 41ST ST E","MUSKOGEE","OK","P84",624120,74403,200102,40101,16,NA,NA,NA,"",NA,NA,6,0.8482667431,"P84","P","P","PC","HU","P","HS","O","HU","HU","Y","Y","","IN"
463000987,"",1,3,202012,9361795,1408348,"NASIRI FOUNDATION","24920 LA LOMA CT","LOS ALTOS HLS","CA","T20",813211,94022,201407,6085,4,NA,NA,NA,"",NA,NA,12,0.8095053274,"T20","T","T","PF","PU","T","ZC","S","PU","OT","Y","N","","IN"
830877788,"",20,3,202012,0,0,"QUITMAN COUNTY ARTS COUNCIL","210 E MAIN ST","MARKS","MS","B90",NA,38646,202007,NA,NA,NA,NA,NA,"",NA,NA,12,0.6557290002,"B90","B","B","PC","ED","B","ED","O","ED","ED","Y","Y","","IN"
936023901,"",60,3,NA,NA,NA,"TRINITY BAPTIST CHURCH OF LEBANON","PO BOX 6","LEBANON","OR","X21",813110,97355,196408,41043,10,NA,NA,NA,"",NA,NA,NA,0.528800535,"X21","X","X","PC","RE","X","RE","O","RE","OT","N","N","","IN"
